"Date","Price","Open","High","Low","Vol.","Change %"
"07/02/2018","140.77","139.56","140.88","139.43","2.83M","0.24%"
"06/29/2018","140.43","140.90","141.66","140.39","1.85M","0.07%"
"06/28/2018","140.33","139.43","140.69","138.99","2.49M","0.62%"
"06/27/2018","139.46","141.20","141.89","139.45","2.96M","-0.93%"
"06/26/2018","140.77","140.70","141.25","140.30","2.09M","0.23%"
"06/25/2018","140.45","141.85","141.99","139.54","4.35M","-1.40%"
"06/22/2018","142.45","143.00","143.08","142.37","1.23M","-0.28%"
"06/21/2018","142.85","143.83","143.85","142.56","1.88M","-0.69%"
"06/20/2018","143.84","143.95","144.19","143.59","1.47M","0.23%"
"06/19/2018","143.51","142.75","143.62","142.40","1.96M","-0.33%"
"06/18/2018","143.99","143.30","144.06","143.03","1.61M","-0.11%"
"06/15/2018","144.15","143.85","144.33","143.23","3.33M","-0.10%"
"06/14/2018","144.29","144.40","144.57","143.89","1.81M","0.28%"
"06/13/2018","143.88","144.54","144.66","143.80","1.40M","-0.37%"
"06/12/2018","144.42","144.40","144.61","144.00","1.58M","0.21%"
"06/11/2018","144.12","144.00","144.47","143.97","1.66M","0.15%"
"06/08/2018","143.91","143.27","143.94","143.12","1.08M","0.34%"
"06/07/2018","143.42","143.81","144.00","142.90","1.66M","-0.15%"
"06/06/2018","143.63","142.75","143.63","142.38","3.01M","0.89%"
"06/05/2018","142.37","142.26","142.52","141.83","2.95M","0.15%"
"06/04/2018","142.16","141.90","142.26","141.73","1.59M","0.47%"
"06/01/2018","141.50","140.93","141.65","140.76","1.86M","1.04%"
"05/31/2018","140.04","140.88","140.95","139.81","1.70M","-0.69%"
"05/30/2018","141.01","139.97","141.31","139.91","1.59M","1.29%"
"05/29/2018","139.21","139.80","140.16","138.54","2.69M","-0.99%"
"05/25/2018","140.60","140.60","140.91","140.28","1.26M","-0.19%"
"05/24/2018","140.87","140.93","141.06","139.86","1.41M","-0.16%"
"05/23/2018","141.10","140.09","141.10","140.00","1.43M","0.26%"
"05/22/2018","140.73","141.56","141.66","140.59","1.21M","-0.37%"
"05/21/2018","141.25","141.06","141.53","140.84","1.30M","0.75%"
"05/18/2018","140.20","140.36","140.51","139.97","910.25K","-0.22%"
"05/17/2018","140.51","140.38","141.04","140.02","1.66M","0.03%"
"05/16/2018","140.47","139.85","140.76","139.85","1.35M","0.49%"
